"filename", "language", "Go Module File", "Go Checksum File", "Go", "YAML", "MS SQL", "Shell Script", "comment", "blank", "total"
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/model/user.go", "Go", 0, 0, 10, 0, 0, 0, 0, 3, 13
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/queue/queue.go", "Go", 0, 0, 16, 0, 0, 0, 0, 4, 20
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/generic.go", "Go", 0, 0, 109, 0, 0, 0, 3, 17, 129
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/pgstorage.go", "Go", 0, 0, 105, 0, 0, 0, 0, 13, 118
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/summary.go", "Go", 0, 0, 134, 0, 0, 0, 0, 19, 153
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/transcription.go", "Go", 0, 0, 187, 0, 0, 0, 0, 26, 213
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/type.go", "Go", 0, 0, 38, 0, 0, 0, 0, 7, 45
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/utils/message.go", "Go", 0, 0, 15, 0, 0, 0, 0, 4, 19
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/creator.go", "Go", 0, 0, 72, 0, 0, 0, 0, 10, 82
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/executor.go", "Go", 0, 0, 140, 0, 0, 0, 0, 12, 152
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/interfaces.go", "Go", 0, 0, 15, 0, 0, 0, 0, 5, 20
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/notifier.go", "Go", 0, 0, 70, 0, 0, 0, 0, 8, 78
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/summarizer.go", "Go", 0, 0, 108, 0, 0, 0, 0, 11, 119
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/llmsvcsettings.yaml", "YAML", 0, 0, 0, 37, 0, 0, 0, 12, 49
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/0_memotogo_tables.down.sql", "MS SQL", 0, 0, 0, 0, 3, 0, 0, 0, 3
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260313130202_memotogo_tables.down.sql", "MS SQL", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260313130202_memotogo_tables.up.sql", "MS SQL", 0, 0, 0, 0, 39, 0, 1, 8, 48
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260325140617_memotogo_tables.down.sql", "MS SQL", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260325140617_memotogo_tables.up.sql", "MS SQL", 0, 0, 0, 0, 18, 0, 0, 1, 19
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/migrate.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 1
"Total", "-", 50, 1102, 3297, 53, 64, 1, 35, 569, 5171
