"filename", "language", "Go", "Go Module File", "MS SQL", "Go Checksum File", "YAML", "Shell Script", "comment", "blank", "total"
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/model/user.go", "Go", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/queue/queue.go", "Go", 16, 0, 0, 0, 0, 0, 0, 4, 20
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/generic.go", "Go", 109, 0, 0, 0, 0, 0, 3, 17, 129
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/pgstorage.go", "Go", 105, 0, 0, 0, 0, 0, 0, 13, 118
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/transcriptions.go", "Go", 185, 0, 0, 0, 0, 0, 0, 26, 211
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/repository/type.go", "Go", 38, 0, 0, 0, 0, 0, 0, 7, 45
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/utils/message.go", "Go", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/creator.go", "Go", 71, 0, 0, 0, 0, 0, 0, 10, 81
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/executor.go", "Go", 121, 0, 0, 0, 0, 0, 0, 13, 134
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/interfaces.go", "Go", 15, 0, 0, 0, 0, 0, 0, 5, 20
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/notifier.go", "Go", 69, 0, 0, 0, 0, 0, 0, 8, 77
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/internal/workers/user_notifier.go", "Go", 65, 0, 0, 0, 0, 0, 24, 8, 97
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/llmsvcsettings.yaml", "YAML", 0, 0, 0, 0, 37, 0, 0, 12, 49
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/0_memotogo_tables.down.sql", "MS SQL", 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260313130202_memotogo_tables.down.sql", "MS SQL", 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260313130202_memotogo_tables.up.sql", "MS SQL", 0, 0, 39, 0, 0, 0, 1, 8, 48
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260325140617_memotogo_tables.down.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/20260325140617_memotogo_tables.up.sql", "MS SQL", 0, 0, 15, 0, 0, 0, 0, 1, 16
"/home/kirill/Yandex.Disk/myProjects/go/ya-practicum/memotogo/migrations/migrate.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 1
"Total", "-", 2992, 50, 61, 1102, 53, 1, 38, 519, 4816
